序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
275,5. 报价文件及货物清单,2357,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,写） | 交货期 | 备注 | | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | | 1 | 【待补充：人工复核】 | 【待补充：人工复核】 | 电缆保护管（MPP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | |
276,5. 报价文件及货物清单,2357,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | | 1 | 【待补充：人工复核】 | 【待补充：人工复核】 | 电缆保护管（MPP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】
277,5. 报价文件及货物清单,2357,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,| :--- | :--- | :--- | :--- | | 1 | 【待补充：人工复核】 | 【待补充：人工复核】 | 电缆保护管（MPP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】** | **【待补充：人工复核】** | | |  【4. 
278,5. 报价文件及货物清单,2357,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | :--- | :--- | | 1 | 【待补充：人工复核】 | 【待补充：人工复核】 | 电缆保护管（MPP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】** | **【待补充：人工复核】** | | |  【4. 分项报价表】  以下为我公
279,5. 报价文件及货物清单,2357,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,- | | 1 | 【待补充：人工复核】 | 【待补充：人工复核】 | 电缆保护管（MPP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】** | **【待补充：人工复核】** | | |  【4. 分项报价表】  以下为我公司针对本次招标物资进行的详
280,5. 报价文件及货物清单,2358,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,PP/CPVC） | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】** | **【待补充：人工复核】** | | |  【4. 分项报价表】  以下为我公司针对本次招标物资进行的详细分项报价，所有单价均为含税价，税率【待补充：人工复核】%。  | 序号 | 物资名称
281,5. 报价文件及货物清单,2358,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 响应招标文件要求 | | **合计** | | | | **【待补充：人工复核】** | **【待补充：人工复核】** | | |  【4. 分项报价表】  以下为我公司针对本次招标物资进行的详细分项报价，所有单价均为含税价，税率【待补充：人工复核】%。  | 序号 | 物资名称 | 规格型号 | 单位 | 数量
282,5. 报价文件及货物清单,2362,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,人工复核】** | **【待补充：人工复核】** | | |  【4. 分项报价表】  以下为我公司针对本次招标物资进行的详细分项报价，所有单价均为含税价，税率【待补充：人工复核】%。  | 序号 | 物资名称 | 规格型号 | 单位 | 数量 | 含税单价（元） | 含税总价（元） | 备注 | | :--- | :--- | :--- | :--- | :--- | :--
283,5. 报价文件及货物清单,2366,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,:--- | :--- | :--- | :--- | :--- | | 1 | 电缆保护管（MPP） | DF 250×22×9000 SN40 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】
284,5. 报价文件及货物清单,2366,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, :--- | :--- | :--- | | 1 | 电缆保护管（MPP） | DF 250×22×9000 SN40 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】
285,5. 报价文件及货物清单,2366,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,| :--- | | 1 | 电缆保护管（MPP） | DF 250×22×9000 SN40 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕
286,5. 报价文件及货物清单,2367,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | 
287,5. 报价文件及货物清单,2367,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | 【待补充：人工复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 
288,5. 报价文件及货物清单,2367,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 
289,5. 报价文件及货物清单,2368,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】
290,5. 报价文件及货物清单,2368,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | *
291,5. 报价文件及货物清单,2368,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | 【待补充：人工复核】 | 【待补充：人工复核】 | | | 3 | 管枕/管卡 | 配套 | 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | **合计** | | | |
292,5. 报价文件及货物清单,2369,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,| 套 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | **合计** | | | | | | **【待补充：人工复核】** | |  【5. 货物清单（含技术参数响应）】  | 序
293,5. 报价文件及货物清单,2369,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | **合计** | | | | | | **【待补充：人工复核】** | |  【5. 货物清单（含技术参数响应）】  | 序号 | 物资名称 | 规格
294,5. 报价文件及货物清单,2369,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | 【待补充：人工复核】 | 如有此项 | | ... | 其他附件 | 详见技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | **合计** | | | | | | **【待补充：人工复核】** | |  【5. 货物清单（含技术参数响应）】  | 序号 | 物资名称 | 规格型号 | 单位 | 需求数
295,5. 报价文件及货物清单,2370,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,技术规范 | 批 | 【待补充：人工复核】 | 【待补充：人工复核】 | 【待补充：人工复核】 | 如有此项 | | **合计** | | | | | | **【待补充：人工复核】** | |  【5. 货物清单（含技术参数响应）】  | 序号 | 物资名称 | 规格型号 | 单位 | 需求数量 | 投标数量 | 技术参数响应情况 | 备注 | | :--- | :--- | 
296,5. 报价文件及货物清单,2376,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,:--- | :--- | :--- | :--- | :--- | | 1 | 电缆保护管（MPP） | DF 250×22×9000 SN40 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 满足招标文件要求（环刚度66.40kN/m2≥40kN/m2） | 基于我方真实检测数据 | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN
297,5. 报价文件及货物清单,2376,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, :--- | :--- | :--- | | 1 | 电缆保护管（MPP） | DF 250×22×9000 SN40 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 满足招标文件要求（环刚度66.40kN/m2≥40kN/m2） | 基于我方真实检测数据 | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充
298,5. 报价文件及货物清单,2377,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,6.40kN/m2≥40kN/m2） | 基于我方真实检测数据 | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 满足招标文件要求（平均内径250.2~250.4mm，壁厚15.2~15.3mm） | 基于我方真实检测数据 |  【6. 单价分析表（以MPP管为例）】  | 序号 
299,5. 报价文件及货物清单,2377,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,N/m2） | 基于我方真实检测数据 | | 2 | 电缆保护管（CPVC） | DS 250×15×6000 SN16 | 米 | 【待补充：人工复核】 | 【待补充：人工复核】 | 满足招标文件要求（平均内径250.2~250.4mm，壁厚15.2~15.3mm） | 基于我方真实检测数据 |  【6. 单价分析表（以MPP管为例）】  | 序号 | 费用构成项目 | 单位
300,5. 报价文件及货物清单,2383,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | 单价（元） | 备注/计算方法 | | :--- | :--- | :--- | :--- | :--- | | 1 | 主要原材料费用 | 元/米 | 【待补充：人工复核】 | 聚丙烯、改性剂等 | | 2 | 辅助材料费用 | 元/米 | 【待补充：人工复核】 | 色母、稳定剂等 | | 3 | 直接人工费用 | 元/米 | 【待补充：人工复核】 | 含生产、质检、包
301,5. 报价文件及货物清单,2384,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,--- | :--- | | 1 | 主要原材料费用 | 元/米 | 【待补充：人工复核】 | 聚丙烯、改性剂等 | | 2 | 辅助材料费用 | 元/米 | 【待补充：人工复核】 | 色母、稳定剂等 | | 3 | 直接人工费用 | 元/米 | 【待补充：人工复核】 | 含生产、质检、包装等 | | 4 | 制造费用 | 元/米 | 【待补充：人工复核】 | 包含设备折旧、水
302,5. 报价文件及货物清单,2385,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,】 | 聚丙烯、改性剂等 | | 2 | 辅助材料费用 | 元/米 | 【待补充：人工复核】 | 色母、稳定剂等 | | 3 | 直接人工费用 | 元/米 | 【待补充：人工复核】 | 含生产、质检、包装等 | | 4 | 制造费用 | 元/米 | 【待补充：人工复核】 | 包含设备折旧、水电、维修等 | | 5 | 管理费用 | 元/米 | 【待补充：人工复核】 | 按比例分
303,5. 报价文件及货物清单,2386,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,】 | 色母、稳定剂等 | | 3 | 直接人工费用 | 元/米 | 【待补充：人工复核】 | 含生产、质检、包装等 | | 4 | 制造费用 | 元/米 | 【待补充：人工复核】 | 包含设备折旧、水电、维修等 | | 5 | 管理费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 6 | 销售费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | |
304,5. 报价文件及货物清单,2387,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,含生产、质检、包装等 | | 4 | 制造费用 | 元/米 | 【待补充：人工复核】 | 包含设备折旧、水电、维修等 | | 5 | 管理费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 6 | 销售费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 7 | 利润 | 元/米 | 【待补充：人工复核】 | | | 8 | 税金 | 元/米 | 
305,5. 报价文件及货物清单,2388,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,核】 | 包含设备折旧、水电、维修等 | | 5 | 管理费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 6 | 销售费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 7 | 利润 | 元/米 | 【待补充：人工复核】 | | | 8 | 税金 | 元/米 | 【待补充：人工复核】 | 税率13% | | **合计** | **含税单价**
306,5. 报价文件及货物清单,2389,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,| 【待补充：人工复核】 | 按比例分摊 | | 6 | 销售费用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 7 | 利润 | 元/米 | 【待补充：人工复核】 | | | 8 | 税金 | 元/米 | 【待补充：人工复核】 | 税率13% | | **合计** | **含税单价** | **元/米** | **【待补充：人工复核】** | |  【7. 运
307,5. 报价文件及货物清单,2390,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,用 | 元/米 | 【待补充：人工复核】 | 按比例分摊 | | 7 | 利润 | 元/米 | 【待补充：人工复核】 | | | 8 | 税金 | 元/米 | 【待补充：人工复核】 | 税率13% | | **合计** | **含税单价** | **元/米** | **【待补充：人工复核】** | |  【7. 运输及包装费报价】  | 序号 | 项目 | 详细说明 | 金额（
308,5. 报价文件及货物清单,2391,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,复核】 | | | 8 | 税金 | 元/米 | 【待补充：人工复核】 | 税率13% | | **合计** | **含税单价** | **元/米** | **【待补充：人工复核】** | |  【7. 运输及包装费报价】  | 序号 | 项目 | 详细说明 | 金额（元） | 备注 | | :--- | :--- | :--- | :--- | :--- | | 1 | 包装
309,5. 报价文件及货物清单,2397,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写, | :--- | :--- | :--- | :--- | :--- | | 1 | 包装费 | 采用高强度编织袋或托盘打包，满足长途运输和现场装卸要求 | 【待补充：人工复核】 | 已含在单价内 | | 2 | 运输费 | 从河北省保定市满城区至辽宁省内指定项目现场（具体地点以订单为准） | 【待补充：人工复核】 | 已含在单价内 | | 3 | 保险费 | 全程购买货物运
310,5. 报价文件及货物清单,2398,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,输和现场装卸要求 | 【待补充：人工复核】 | 已含在单价内 | | 2 | 运输费 | 从河北省保定市满城区至辽宁省内指定项目现场（具体地点以订单为准） | 【待补充：人工复核】 | 已含在单价内 | | 3 | 保险费 | 全程购买货物运输险 | 【待补充：人工复核】 | 已含在单价内 | | **合计** | | | **【待补充：人工复核】** | |  【8. 投标保
311,5. 报价文件及货物清单,2399,人工复核,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,河北省保定市满城区至辽宁省内指定项目现场（具体地点以订单为准） | 【待补充：人工复核】 | 已含在单价内 | | 3 | 保险费 | 全程购买货物运输险 | 【待补充：人工复核】 | 已含在单价内 | | **合计** | | | **【待补充：人工复核】** | |  【8. 投标保证金承诺】  我公司承诺，将按照招标文件规定的金额和形式提交投标保证金。具体保证金信息如下：
312,5. 报价文件及货物清单,2400,人工复核,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,人工复核】 | 已含在单价内 | | 3 | 保险费 | 全程购买货物运输险 | 【待补充：人工复核】 | 已含在单价内 | | **合计** | | | **【待补充：人工复核】** | |  【8. 投标保证金承诺】  我公司承诺，将按照招标文件规定的金额和形式提交投标保证金。具体保证金信息如下： - 投标保证金金额：人民币【待补充：人工复核】元。 - 投标保证金形式：【待
313,5. 报价文件及货物清单,2405,人工复核,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,人工复核】** | |  【8. 投标保证金承诺】  我公司承诺，将按照招标文件规定的金额和形式提交投标保证金。具体保证金信息如下： - 投标保证金金额：人民币【待补充：人工复核】元。 - 投标保证金形式：【待补充：人工复核】。 - 投标保证金有效期：与投标有效期一致。  【9. 增值税发票及其他税费承诺】  我公司承诺，所提供的报价均为含增值税价格。我公司为增值税一般纳税人，
314,5. 报价文件及货物清单,2406,人工复核,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,诺】  我公司承诺，将按照招标文件规定的金额和形式提交投标保证金。具体保证金信息如下： - 投标保证金金额：人民币【待补充：人工复核】元。 - 投标保证金形式：【待补充：人工复核】。 - 投标保证金有效期：与投标有效期一致。  【9. 增值税发票及其他税费承诺】  我公司承诺，所提供的报价均为含增值税价格。我公司为增值税一般纳税人，可开具税率为【待补充：人工复核】%的增值税专用
315,5. 报价文件及货物清单,2411,人工复核,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息, 投标保证金有效期：与投标有效期一致。  【9. 增值税发票及其他税费承诺】  我公司承诺，所提供的报价均为含增值税价格。我公司为增值税一般纳税人，可开具税率为【待补充：人工复核】%的增值税专用发票。所有税费由我公司依法自行承担，不包含在投标报价之外另行向招标人收取。  【10. 其他说明】  - **质保期承诺**：我公司承诺所供货物质保期为投运后【待补充：人工复核】个月，或
316,5. 报价文件及货物清单,2415,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,用发票。所有税费由我公司依法自行承担，不包含在投标报价之外另行向招标人收取。  【10. 其他说明】  - **质保期承诺**：我公司承诺所供货物质保期为投运后【待补充：人工复核】个月，或从到货验收合格之日起【待补充：人工复核】个月，以先到为准。质保期内因产品质量问题导致的任何损失，由我公司无偿负责维修或更换。 - **交货期承诺**：我公司承诺在接到供货通知后【待补充：人工复
317,5. 报价文件及货物清单,2415,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,标报价之外另行向招标人收取。  【10. 其他说明】  - **质保期承诺**：我公司承诺所供货物质保期为投运后【待补充：人工复核】个月，或从到货验收合格之日起【待补充：人工复核】个月，以先到为准。质保期内因产品质量问题导致的任何损失，由我公司无偿负责维修或更换。 - **交货期承诺**：我公司承诺在接到供货通知后【待补充：人工复核】日内完成首批货物的交付，并确保在合同约定的最
318,5. 报价文件及货物清单,2416,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,日起【待补充：人工复核】个月，以先到为准。质保期内因产品质量问题导致的任何损失，由我公司无偿负责维修或更换。 - **交货期承诺**：我公司承诺在接到供货通知后【待补充：人工复核】日内完成首批货物的交付，并确保在合同约定的最终交货期内完成全部货物交付。 - **备货及产能保障**：我公司现有MPP和CPVC生产线共【待补充：人工复核】条，月均产能可达【待补充：人工复核】米，具备
319,5. 报价文件及货物清单,2417,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,知后【待补充：人工复核】日内完成首批货物的交付，并确保在合同约定的最终交货期内完成全部货物交付。 - **备货及产能保障**：我公司现有MPP和CPVC生产线共【待补充：人工复核】条，月均产能可达【待补充：人工复核】米，具备充足的备货产能，可完全满足本项目的供货需求。 - **售后服务承诺**：我公司设立专项售后服务小组，由技术总监赵称心同志牵头，王强、陈国华、黄文清、林乌金等
320,5. 报价文件及货物清单,2417,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,货物的交付，并确保在合同约定的最终交货期内完成全部货物交付。 - **备货及产能保障**：我公司现有MPP和CPVC生产线共【待补充：人工复核】条，月均产能可达【待补充：人工复核】米，具备充足的备货产能，可完全满足本项目的供货需求。 - **售后服务承诺**：我公司设立专项售后服务小组，由技术总监赵称心同志牵头，王强、陈国华、黄文清、林乌金等同志为成员，提供7*24小时技术支持
321,5. 报价文件及货物清单,2418,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,承诺**：我公司设立专项售后服务小组，由技术总监赵称心同志牵头，王强、陈国华、黄文清、林乌金等同志为成员，提供7*24小时技术支持和现场服务。接到招标人通知后，【待补充：人工复核】小时内响应，【待补充：人工复核】小时内派技术人员抵达现场。  【11. 附件】  - 投标函（价格部分） - 开标文件（价格汇总表） - 分项报价表（加盖公章） - 货物清单（加盖公章） - 单价分析
322,5. 报价文件及货物清单,2418,人工复核,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,小组，由技术总监赵称心同志牵头，王强、陈国华、黄文清、林乌金等同志为成员，提供7*24小时技术支持和现场服务。接到招标人通知后，【待补充：人工复核】小时内响应，【待补充：人工复核】小时内派技术人员抵达现场。  【11. 附件】  - 投标函（价格部分） - 开标文件（价格汇总表） - 分项报价表（加盖公章） - 货物清单（加盖公章） - 单价分析表（加盖公章） - 其他需提供的
323,5. 报价文件及货物清单,2430,人工复核,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,） - 单价分析表（加盖公章） - 其他需提供的价格证明文件  **投标人（盖章）：** 河北泰昌电力器材科技有限公司 **法定代表人或授权代表（签字）：** 【待补充：人工复核】 **日期：** 【待补充：人工复核】年【待补充：人工复核】月【待补充：人工复核】日  ## 5.1 报价说明及风险提示  【一、报价口径说明】  1. **报价范围**      本投标报价系依据《
324,5. 报价文件及货物清单,2431,人工复核,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,他需提供的价格证明文件  **投标人（盖章）：** 河北泰昌电力器材科技有限公司 **法定代表人或授权代表（签字）：** 【待补充：人工复核】 **日期：** 【待补充：人工复核】年【待补充：人工复核】月【待补充：人工复核】日  ## 5.1 报价说明及风险提示  【一、报价口径说明】  1. **报价范围**      本投标报价系依据《国网辽宁电力2025年第三次物资协议库
325,5. 报价文件及货物清单,2431,人工复核,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,  **投标人（盖章）：** 河北泰昌电力器材科技有限公司 **法定代表人或授权代表（签字）：** 【待补充：人工复核】 **日期：** 【待补充：人工复核】年【待补充：人工复核】月【待补充：人工复核】日  ## 5.1 报价说明及风险提示  【一、报价口径说明】  1. **报价范围**      本投标报价系依据《国网辽宁电力2025年第三次物资协议库存招标采购》（招标编号
326,5. 报价文件及货物清单,2431,人工复核,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,：** 河北泰昌电力器材科技有限公司 **法定代表人或授权代表（签字）：** 【待补充：人工复核】 **日期：** 【待补充：人工复核】年【待补充：人工复核】月【待补充：人工复核】日  ## 5.1 报价说明及风险提示  【一、报价口径说明】  1. **报价范围**      本投标报价系依据《国网辽宁电力2025年第三次物资协议库存招标采购》（招标编号：2225AC）招标文
327,5.1 报价说明及风险提示,2438,本次投标所涉分标、包号、包名称及物资范围,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,. **报价范围**      本投标报价系依据《国网辽宁电力2025年第三次物资协议库存招标采购》（招标编号：2225AC）招标文件及澄清补充文件的要求，针对【待补充：本次投标所涉分标、包号、包名称及物资范围】所提交的完整报价。报价范围包括招标文件所规定的电缆保护管（MPP/CPVC）产品的生产、检验、包装、运输、交付及合同约定的售后服务，以及为完成本招标项目合同全部义务所需的一切费用。  2. **报价构
328,6. 其他响应资料,2510,履约保证金形式及金额，需人工复核招标文件要求,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,规定的预付款、到货款、验收款及质保金支付条件执行，具体支付比例及时间以合同约定为准。 2. **履约担保**：承诺在中标后按照招标文件要求提交履约保证金，形式为【待补充：履约保证金形式及金额，需人工复核招标文件要求】。 3. **税费**：承诺依法开具增值税专用发票，税率为13%，并承担相关税费。 4. **廉政与保密**：严格遵守《廉洁从业协议》及保密条款，不向招标人及相关人员行贿，不泄露招标及合同履行过程中的
329,6. 其他响应资料,2518,商务偏离表页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,、交货期、质保期、售后服务、合同变更等）无任何偏离。若有因理解偏差导致实际存在未列明的偏离，以招标文件规定为准，并视为我公司无条件接受。商务偏离表详见本投标文件【待补充：商务偏离表页码】。  【四、承诺函汇编】  【（一）质量保证承诺函】  我公司承诺：所投电缆保护管（MPP/CPVC）产品全部按照国家标准（GB/T 19001-2016/ISO 9001:2015 质量管理体系认证
